"STATISTIC","Statistic Label","TLIST(A1)","Year","C03037V03742","Garda Station","UNIT","VALUE"
"CJA36C01","Fraud, deception & related offences","2024","2024","35301","35301 Abbeyfeale, Limerick Division","Number","14"
"CJA36C01","Fraud, deception & related offences","2024","2024","41201","41201 Abbeyleix, Laois/Offaly Division","Number","16"
"CJA36C01","Fraud, deception & related offences","2024","2024","35302","35302 Adare, Limerick Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","54101","54101 Aglish, Waterford Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","23101","23101 Ahascragh, Galway Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","12501","12501 Ailt an Chorraiin, Donegal Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","12502","12502 An Bun Beag, Donegal Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","12503","12503 An Charraig, Donegal Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","23601","23601 An Cheathru Rua, Galway Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","12504","12504 An Clochain Liath, Donegal Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","34101","34101 An Coirean, Kerry Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","12401","12401 An Craoslach, Donegal Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","12402","12402 An Fail Carrach, Donegal Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","23201","23201 An Maim, Galway Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","54102","54102 An Rinn, Waterford Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","23602","23602 An Spideal, Galway Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","31101","31101 Anglesea Street, Cork City Division","Number","77"
"CJA36C01","Fraud, deception & related offences","2024","2024","34303","34303 Annascaul, Kerry Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","23301","23301 Aran More, Galway Division","Number","43"
"CJA36C01","Fraud, deception & related offences","2024","2024","12507","12507 Ard an Raitha, Donegal Division","Number","3"
